TIME,LABEL
1.0,NORMAL
2.0,NORMAL
3.0,NORMAL
4.0,NORMAL
5.0,NORMAL
6.0,NORMAL
7.0,NORMAL
8.0,NORMAL
9.0,NORMAL
10.0,NORMAL
11.0,NORMAL
12.0,NORMAL
13.0,NORMAL
14.0,NORMAL
15.0,NORMAL
16.0,NORMAL
17.0,NORMAL
18.0,NORMAL
19.0,NORMAL
20.0,NORMAL
21.0,NORMAL
22.0,NORMAL
23.0,NORMAL
24.0,NORMAL
25.0,ATTACK
26.0,ATTACK
27.0,ATTACK
28.0,ATTACK
29.0,NORMAL
30.0,NORMAL
31.0,NORMAL
32.0,NORMAL
33.0,NORMAL
34.0,NORMAL
35.0,NORMAL
36.0,NORMAL
37.0,NORMAL
38.0,NORMAL
39.0,NORMAL
40.0,NORMAL
41.0,NORMAL
42.0,NORMAL
43.0,NORMAL
44.0,NORMAL
45.0,NORMAL
46.0,NORMAL
47.0,NORMAL
48.0,NORMAL
49.0,NORMAL
50.0,NORMAL
51.0,NORMAL
52.0,NORMAL
53.0,NORMAL
54.0,NORMAL
55.0,NORMAL
56.0,NORMAL
57.0,NORMAL
58.0,NORMAL
59.0,NORMAL
60.0,NORMAL
61.0,NORMAL
62.0,NORMAL
63.0,NORMAL
64.0,NORMAL
65.0,NORMAL
66.0,NORMAL
67.0,NORMAL
68.0,NORMAL
69.0,NORMAL
70.0,NORMAL
71.0,NORMAL
72.0,NORMAL
73.0,NORMAL
74.0,NORMAL
75.0,NORMAL
76.0,NORMAL
77.0,NORMAL
78.0,NORMAL
79.0,NORMAL
80.0,NORMAL
81.0,NORMAL
82.0,NORMAL
83.0,NORMAL
84.0,NORMAL
85.0,NORMAL
86.0,NORMAL
87.0,NORMAL
88.0,NORMAL
89.0,NORMAL
90.0,NORMAL
91.0,NORMAL
92.0,NORMAL
93.0,NORMAL
94.0,NORMAL
95.0,NORMAL
96.0,NORMAL
97.0,NORMAL
98.0,NORMAL
99.0,NORMAL
100.0,NORMAL
101.0,NORMAL
102.0,NORMAL
103.0,NORMAL
104.0,NORMAL
105.0,NORMAL
106.0,NORMAL
107.0,NORMAL
108.0,NORMAL
109.0,NORMAL
110.0,NORMAL
111.0,NORMAL
112.0,NORMAL
113.0,NORMAL
114.0,NORMAL
115.0,NORMAL
116.0,NORMAL
117.0,NORMAL
118.0,NORMAL
119.0,NORMAL
120.0,NORMAL
121.0,NORMAL
122.0,NORMAL
123.0,NORMAL
124.0,NORMAL
125.0,NORMAL
126.0,NORMAL
